Unnamed: 0,amount,Conc,elution,res,thrp,priority
483,1.1,6.5,6,PENDING,PENDING,0.0
482,1.1,6.5,5,PENDING,PENDING,0.0
481,1.1,6.0,9,PENDING,PENDING,0.0
480,1.1,6.0,8,PENDING,PENDING,0.0
479,1.1,6.0,7,PENDING,PENDING,0.0
478,1.1,6.0,6,PENDING,PENDING,0.0
477,1.1,6.0,5,PENDING,PENDING,0.0
476,1.1,5.5,9,PENDING,PENDING,0.0
475,1.1,7.0,9,PENDING,PENDING,0.0
474,1.1,9.0,9,PENDING,PENDING,0.0
473,1.1,7.5,5,PENDING,PENDING,0.0
472,1.1,7.5,7,PENDING,PENDING,0.0
471,1.1,9.0,7,PENDING,PENDING,0.0
470,1.1,9.0,6,PENDING,PENDING,0.0
469,1.1,9.0,5,PENDING,PENDING,0.0
468,1.1,8.5,9,PENDING,PENDING,0.0
467,1.1,8.5,8,PENDING,PENDING,0.0
466,1.1,8.5,7,PENDING,PENDING,0.0
465,1.1,8.5,6,PENDING,PENDING,0.0
464,1.1,8.5,5,PENDING,PENDING,0.0
463,1.1,8.0,9,PENDING,PENDING,0.0
462,1.1,8.0,8,PENDING,PENDING,0.0
461,1.1,8.0,7,PENDING,PENDING,0.0
460,1.1,8.0,6,PENDING,PENDING,0.0
459,1.1,8.0,5,PENDING,PENDING,0.0
458,1.1,7.5,9,PENDING,PENDING,0.0
457,1.1,7.5,8,PENDING,PENDING,0.0
456,1.1,7.5,6,PENDING,PENDING,0.0
455,0.8,9.0,7,PENDING,PENDING,0.0
454,0.8,9.0,6,PENDING,PENDING,0.0
453,0.8,9.0,5,PENDING,PENDING,0.0
452,0.5,10.0,9,PENDING,PENDING,0.0
451,0.5,10.0,8,PENDING,PENDING,0.0
449,0.5,10.0,6,PENDING,PENDING,0.0
448,0.5,10.0,5,PENDING,PENDING,0.0
447,0.5,9.5,9,PENDING,PENDING,0.0
446,0.5,9.5,8,PENDING,PENDING,0.0
445,0.5,9.5,7,PENDING,PENDING,0.0
444,0.5,9.5,6,PENDING,PENDING,0.0
443,0.5,9.5,5,PENDING,PENDING,0.0
442,0.5,9.0,9,PENDING,PENDING,0.0
441,0.5,9.0,8,PENDING,PENDING,0.0
440,0.5,9.0,7,PENDING,PENDING,0.0
439,0.5,9.0,6,PENDING,PENDING,0.0
438,0.5,9.0,5,PENDING,PENDING,0.0
437,0.65,5.0,5,PENDING,PENDING,0.0
436,0.5,8.5,9,PENDING,PENDING,0.0
435,0.65,5.0,6,PENDING,PENDING,0.0
434,0.65,5.0,8,PENDING,PENDING,0.0
433,0.65,6.5,8,PENDING,PENDING,0.0
432,0.65,6.5,7,PENDING,PENDING,0.0
431,0.65,6.5,6,PENDING,PENDING,0.0
430,0.65,6.5,5,PENDING,PENDING,0.0
429,0.65,6.0,9,PENDING,PENDING,0.0
428,0.65,6.0,8,PENDING,PENDING,0.0
427,0.65,6.0,7,PENDING,PENDING,0.0
426,0.65,6.0,6,PENDING,PENDING,0.0
425,0.65,6.0,5,PENDING,PENDING,0.0
424,0.65,5.5,9,PENDING,PENDING,0.0
423,0.65,5.5,8,PENDING,PENDING,0.0
422,0.65,5.5,7,PENDING,PENDING,0.0
421,0.65,5.5,6,PENDING,PENDING,0.0
420,0.65,5.5,5,PENDING,PENDING,0.0
419,0.65,5.0,9,PENDING,PENDING,0.0
418,0.65,5.0,7,PENDING,PENDING,0.0
417,0.65,6.5,9,PENDING,PENDING,0.0
416,0.5,8.5,8,PENDING,PENDING,0.0
415,0.5,8.5,6,PENDING,PENDING,0.0
414,0.5,6.5,6,PENDING,PENDING,0.0
413,0.5,6.5,5,PENDING,PENDING,0.0
412,0.5,6.0,9,PENDING,PENDING,0.0
411,0.5,6.0,8,PENDING,PENDING,0.0
410,0.5,6.0,7,PENDING,PENDING,0.0
409,0.5,6.0,6,PENDING,PENDING,0.0
408,0.5,6.0,5,PENDING,PENDING,0.0
407,0.5,5.5,9,PENDING,PENDING,0.0
406,0.5,5.5,8,PENDING,PENDING,0.0
405,0.5,5.5,7,PENDING,PENDING,0.0
404,0.5,5.5,6,PENDING,PENDING,0.0
403,0.5,5.5,5,PENDING,PENDING,0.0
402,0.5,5.0,9,PENDING,PENDING,0.0
401,0.5,5.0,8,PENDING,PENDING,0.0
400,0.5,5.0,7,PENDING,PENDING,0.0
399,0.5,6.5,7,PENDING,PENDING,0.0
398,0.5,8.5,7,PENDING,PENDING,0.0
397,0.5,6.5,8,PENDING,PENDING,0.0
396,0.5,7.0,5,PENDING,PENDING,0.0
395,0.5,8.5,5,PENDING,PENDING,0.0
394,0.5,8.0,9,PENDING,PENDING,0.0
393,0.5,8.0,8,PENDING,PENDING,0.0
392,0.5,8.0,7,PENDING,PENDING,0.0
391,0.5,8.0,6,PENDING,PENDING,0.0
390,0.5,8.0,5,PENDING,PENDING,0.0
389,0.5,7.5,9,PENDING,PENDING,0.0
388,0.5,7.5,8,PENDING,PENDING,0.0
387,0.5,7.5,7,PENDING,PENDING,0.0
386,0.5,7.5,6,PENDING,PENDING,0.0
385,0.5,7.5,5,PENDING,PENDING,0.0
384,0.5,7.0,9,PENDING,PENDING,0.0
383,0.5,7.0,8,PENDING,PENDING,0.0
382,0.5,7.0,7,PENDING,PENDING,0.0
381,0.5,7.0,6,PENDING,PENDING,0.0
380,0.5,6.5,9,PENDING,PENDING,0.0
379,1.25,7.5,6,PENDING,PENDING,0.0
378,0.65,7.0,5,PENDING,PENDING,0.0
377,0.65,7.0,7,PENDING,PENDING,0.0
376,0.8,7.0,5,PENDING,PENDING,0.0
375,0.8,6.5,9,PENDING,PENDING,0.0
374,0.8,6.5,8,PENDING,PENDING,0.0
373,0.8,6.5,7,PENDING,PENDING,0.0
372,0.8,6.5,6,PENDING,PENDING,0.0
371,0.8,6.5,5,PENDING,PENDING,0.0
370,0.8,6.0,9,PENDING,PENDING,0.0
369,0.8,6.0,8,PENDING,PENDING,0.0
368,0.8,6.0,7,PENDING,PENDING,0.0
367,0.8,6.0,6,PENDING,PENDING,0.0
366,0.8,6.0,5,PENDING,PENDING,0.0
365,0.8,5.5,9,PENDING,PENDING,0.0
364,0.8,5.5,8,PENDING,PENDING,0.0
363,0.8,5.5,7,PENDING,PENDING,0.0
362,0.8,5.5,6,PENDING,PENDING,0.0
361,0.8,7.0,6,PENDING,PENDING,0.0
360,0.8,5.5,5,PENDING,PENDING,0.0
359,0.8,7.0,7,PENDING,PENDING,0.0
358,0.8,7.0,9,PENDING,PENDING,0.0
357,0.8,8.5,9,PENDING,PENDING,0.0
356,0.8,8.5,8,PENDING,PENDING,0.0
355,0.8,8.5,7,PENDING,PENDING,0.0
354,0.8,8.5,6,PENDING,PENDING,0.0
353,0.8,8.5,5,PENDING,PENDING,0.0
352,0.8,8.0,9,PENDING,PENDING,0.0
351,0.8,8.0,8,PENDING,PENDING,0.0
350,0.8,8.0,7,PENDING,PENDING,0.0
349,0.8,8.0,6,PENDING,PENDING,0.0
348,0.8,8.0,5,PENDING,PENDING,0.0
347,0.8,7.5,9,PENDING,PENDING,0.0
346,0.8,7.5,8,PENDING,PENDING,0.0
345,0.8,7.5,7,PENDING,PENDING,0.0
344,0.8,7.5,6,PENDING,PENDING,0.0
343,0.8,7.5,5,PENDING,PENDING,0.0
342,0.8,7.0,8,PENDING,PENDING,0.0
341,0.65,7.0,6,PENDING,PENDING,0.0
340,0.8,5.0,9,PENDING,PENDING,0.0
339,0.8,5.0,7,PENDING,PENDING,0.0
338,0.65,8.5,7,PENDING,PENDING,0.0
337,0.65,8.5,6,PENDING,PENDING,0.0
336,0.65,8.5,5,PENDING,PENDING,0.0
335,0.65,8.0,9,PENDING,PENDING,0.0
334,0.65,8.0,8,PENDING,PENDING,0.0
333,0.65,8.0,7,PENDING,PENDING,0.0
332,0.65,8.0,6,PENDING,PENDING,0.0
331,0.65,8.0,5,PENDING,PENDING,0.0
330,0.65,7.5,9,PENDING,PENDING,0.0
329,0.65,7.5,8,PENDING,PENDING,0.0
328,0.65,7.5,7,PENDING,PENDING,0.0
327,0.65,7.5,6,PENDING,PENDING,0.0
326,0.65,7.5,5,PENDING,PENDING,0.0
325,0.65,7.0,9,PENDING,PENDING,0.0
324,0.65,7.0,8,PENDING,PENDING,0.0
323,0.65,8.5,8,PENDING,PENDING,0.0
322,0.8,5.0,8,PENDING,PENDING,0.0
321,0.65,8.5,9,PENDING,PENDING,0.0
320,0.65,9.0,6,PENDING,PENDING,0.0
319,0.8,5.0,6,PENDING,PENDING,0.0
318,0.8,5.0,5,PENDING,PENDING,0.0
317,0.65,10.0,9,PENDING,PENDING,0.0
316,0.65,10.0,8,PENDING,PENDING,0.0
315,0.65,10.0,7,PENDING,PENDING,0.0
314,0.65,10.0,6,PENDING,PENDING,0.0
313,0.65,10.0,5,PENDING,PENDING,0.0
312,0.65,9.5,9,PENDING,PENDING,0.0
311,0.65,9.5,8,PENDING,PENDING,0.0
310,0.65,9.5,7,PENDING,PENDING,0.0
309,0.65,9.5,6,PENDING,PENDING,0.0
308,0.65,9.5,5,PENDING,PENDING,0.0
307,0.65,9.0,9,PENDING,PENDING,0.0
306,0.65,9.0,8,PENDING,PENDING,0.0
305,0.65,9.0,7,PENDING,PENDING,0.0
304,0.65,9.0,5,PENDING,PENDING,0.0
303,0.5,5.0,6,PENDING,PENDING,0.0
302,0.5,5.0,5,PENDING,PENDING,0.0
301,1.25,7.5,9,PENDING,PENDING,0.0
300,1.85,6.0,8,PENDING,PENDING,0.0
299,1.85,6.0,7,PENDING,PENDING,0.0
298,1.85,6.0,6,PENDING,PENDING,0.0
297,1.85,6.0,5,PENDING,PENDING,0.0
296,1.85,5.5,9,PENDING,PENDING,0.0
295,1.85,5.5,8,PENDING,PENDING,0.0
294,1.85,6.0,9,PENDING,PENDING,0.0
293,1.85,5.5,7,PENDING,PENDING,0.0
292,1.85,5.5,5,PENDING,PENDING,0.0
291,1.85,5.0,9,PENDING,PENDING,0.0
290,1.85,5.0,8,PENDING,PENDING,0.0
289,1.85,5.0,7,PENDING,PENDING,0.0
288,1.85,5.0,6,PENDING,PENDING,0.0
287,1.85,5.0,5,PENDING,PENDING,0.0
286,1.85,5.5,6,PENDING,PENDING,0.0
285,1.85,6.5,5,PENDING,PENDING,0.0
284,1.85,6.5,6,PENDING,PENDING,0.0
283,1.85,6.5,7,PENDING,PENDING,0.0
282,1.85,8.0,7,PENDING,PENDING,0.0
281,1.85,8.0,6,PENDING,PENDING,0.0
280,1.85,8.0,5,PENDING,PENDING,0.0
279,1.85,7.5,9,PENDING,PENDING,0.0
278,1.85,7.5,8,PENDING,PENDING,0.0
277,1.85,7.5,7,PENDING,PENDING,0.0
276,1.85,7.5,6,PENDING,PENDING,0.0
275,1.85,7.5,5,PENDING,PENDING,0.0
274,1.85,7.0,9,PENDING,PENDING,0.0
273,1.85,7.0,8,PENDING,PENDING,0.0
272,1.85,7.0,7,PENDING,PENDING,0.0
271,1.85,7.0,6,PENDING,PENDING,0.0
270,1.85,7.0,5,PENDING,PENDING,0.0
269,1.85,6.5,9,PENDING,PENDING,0.0
268,1.85,6.5,8,PENDING,PENDING,0.0
267,1.7000000000000002,10.0,9,PENDING,PENDING,0.0
266,1.7000000000000002,10.0,8,PENDING,PENDING,0.0
265,1.7000000000000002,10.0,7,PENDING,PENDING,0.0
264,1.7000000000000002,10.0,6,PENDING,PENDING,0.0
263,1.7000000000000002,8.0,6,PENDING,PENDING,0.0
262,1.7000000000000002,8.0,5,PENDING,PENDING,0.0
261,1.7000000000000002,7.5,9,PENDING,PENDING,0.0
260,1.7000000000000002,7.5,8,PENDING,PENDING,0.0
259,1.7000000000000002,7.5,7,PENDING,PENDING,0.0
258,1.7000000000000002,7.5,6,PENDING,PENDING,0.0
257,1.7000000000000002,7.5,5,PENDING,PENDING,0.0
256,1.7000000000000002,7.0,9,PENDING,PENDING,0.0
255,1.7000000000000002,7.0,8,PENDING,PENDING,0.0
254,1.7000000000000002,7.0,7,PENDING,PENDING,0.0
253,1.7000000000000002,7.0,6,PENDING,PENDING,0.0
252,1.7000000000000002,7.0,5,PENDING,PENDING,0.0
251,1.7000000000000002,6.5,9,PENDING,PENDING,0.0
250,1.7000000000000002,6.5,8,PENDING,PENDING,0.0
249,1.7000000000000002,6.5,7,PENDING,PENDING,0.0
248,1.7000000000000002,8.0,7,PENDING,PENDING,0.0
