,speeds,times
0,200,240.28213381767273
1,500,96.38086009025574
2,800,60.322314500808716
3,1000,48.338829040527344
4,1500,32.23559641838074
5,2000,24.25475788116455
6,2500,19.510822772979736
7,3000,16.283101797103882
8,4000,12.27422571182251
9,5000,9.899199724197388
10,6000,8.394486904144287
11,7000,7.280083179473877
12,8000,6.40682315826416
13,9000,5.781945705413818
14,10000,5.218490839004517
15,11000,4.904505252838135
16,12000,4.5375871658325195
